message,toxicity,context_score,context_type,label
nice save,0.166,0.549,all_chat,0
cheater,0.753,0.574,post_game,1
how are you this bad,0.711,0.753,competitive,1
watch out behind you,0.035,0.286,casual,0
kys noob,0.827,0.613,competitive,1
you're trash,0.753,0.454,post_game,1
your family must be ashamed,0.739,0.816,competitive,1
let's regroup,0.122,0.444,post_game,0
nice save,0.104,0.272,pvp_combat,0
absolute garbage player,0.786,0.314,pvp_combat,1
you're dead,0.639,0.68,competitive,1
lets push together,0.106,0.225,casual,0
kys noob,0.85,0.685,all_chat,1
good defense,0.139,0.428,post_game,0
you're dead,0.541,0.364,team_chat,1
kill yourself,0.944,0.287,casual,1
stupid noob,0.879,0.4,casual,1
how are you this bad,0.884,0.714,all_chat,1
kys noob,0.868,0.679,team_chat,1
get cancer,0.806,0.546,team_chat,1
kill yourself,0.857,0.691,post_game,1
i'll help you,0.19,0.465,casual,0
absolute garbage player,0.774,0.107,pvp_combat,1
pathetic loser,0.834,0.392,pvp_combat,1
worst player ever,0.717,0.429,post_game,1
add me as friend,0.13,0.38,pvp_combat,0
watch out behind you,0.038,0.845,all_chat,0
uninstall you monkey,0.837,0.471,team_chat,1
stop feeding moron,0.733,0.864,competitive,1
pathetic loser,0.856,0.299,casual,1
you got lucky,0.738,0.663,competitive,1
nice shot!,0.086,0.518,team_chat,0
let's regroup,0.108,0.213,casual,0
end your life,0.959,0.002,pvp_combat,1
get cancer,0.883,0.774,all_chat,1
brain dead player,0.923,0.668,all_chat,1
you got lucky,0.568,0.761,competitive,1
your family must be ashamed,0.844,0.536,team_chat,1
destroyed you,0.587,0.759,post_game,1
good call,0.114,0.429,team_chat,0
great teamwork guys,0.015,0.462,casual,0
delete this game idiot,0.777,0.507,team_chat,1
great teamwork guys,0.057,0.337,casual,0
that was close,0.13,0.841,all_chat,0
add me as friend,0.171,0.921,competitive,0
trash team,0.881,0.868,all_chat,1
end your life,0.939,0.393,casual,1
almost had it,0.068,0.88,competitive,0
cheater,0.739,0.484,post_game,1
enemy spotted,0.187,0.129,casual,0
nice save,0.195,0.246,pvp_combat,0
wait for team,0.054,0.335,team_chat,0
too easy,0.473,0.438,casual,0
that was fun,0.083,0.54,post_game,0
let's try again,0.015,0.146,casual,0
go back to tutorial,0.844,0.579,all_chat,1
cover me please,0.12,0.427,casual,0
you're useless,0.702,0.416,casual,1
sit down,0.594,0.572,post_game,1
that was close,0.189,0.816,competitive,0
thanks for the game,0.06,0.979,competitive,0
that was close,0.016,0.815,competitive,0
go back to tutorial,0.824,0.751,post_game,1
need backup,0.044,0.791,competitive,0
smashed you,0.521,0.571,all_chat,1
die in a fire,0.758,0.633,competitive,1
let's regroup,0.18,0.837,all_chat,0
go back to tutorial,0.776,0.712,competitive,1
nice shot!,0.048,0.595,post_game,0
thanks for heal,0.089,0.333,team_chat,0
nice try!,0.06,0.694,team_chat,0
i hope you lose every game,0.943,0.145,casual,1
add me as friend,0.146,0.625,all_chat,0
almost had it,0.122,0.683,team_chat,0
glhf everyone,0.019,0.255,casual,0
let's regroup,0.123,0.48,team_chat,0
rematch?,0.117,0.484,team_chat,0
nice shot!,0.08,0.074,pvp_combat,0
good game everyone,0.011,0.531,all_chat,0
uninstall you monkey,0.948,0.679,competitive,1
nice try!,0.03,0.41,post_game,0
smashed you,0.767,0.747,all_chat,1
great teamwork guys,0.155,0.384,team_chat,0
nice try!,0.029,0.831,all_chat,0
we can do this,0.144,0.575,team_chat,0
glhf everyone,0.155,0.838,competitive,0
stop feeding moron,0.846,0.747,all_chat,1
you're useless,0.75,0.038,pvp_combat,1
destroyed you,0.788,0.714,all_chat,1
thanks for heal,0.198,0.929,competitive,0
you're useless,0.857,0.706,post_game,1
sweaty player,0.729,0.607,competitive,1
great teamwork guys,0.179,0.092,pvp_combat,0
uninstall you monkey,0.845,0.726,competitive,1
neck yourself,0.977,0.452,team_chat,1
neck yourself,0.761,0.178,pvp_combat,1
your family must be ashamed,0.88,0.702,all_chat,1
too easy,0.633,0.539,post_game,1
i hope you get banned,0.814,0.783,post_game,1
camper noob,0.298,0.358,casual,0
nice save,0.154,0.311,pvp_combat,0
rematch?,0.17,0.385,pvp_combat,0
owned,0.742,0.649,competitive,1
you're dead,0.34,0.153,pvp_combat,0
add me as friend,0.012,0.336,pvp_combat,0
let's regroup,0.02,0.55,team_chat,0
brain dead player,0.927,0.673,post_game,1
good game everyone,0.142,0.208,pvp_combat,0
good call,0.18,0.893,all_chat,0
smashed you,0.639,0.47,post_game,1
nice save,0.066,0.695,competitive,0
absolute garbage player,0.834,0.119,pvp_combat,1
uninstall you monkey,0.915,0.195,pvp_combat,1
absolute garbage player,0.79,0.371,casual,1
kill yourself,0.857,0.635,competitive,1
follow me,0.053,0.852,all_chat,0
die in a fire,0.966,0.345,team_chat,1
you're a waste of space,0.793,0.693,all_chat,1
nice save,0.092,0.104,pvp_combat,0
great teamwork guys,0.018,0.678,all_chat,0
reported,0.626,0.832,competitive,1
reported for being bad,0.807,0.47,team_chat,1
good luck have fun,0.154,0.183,casual,0
i hope you get banned,0.798,0.587,post_game,1
uninstall the game noob,0.76,0.408,casual,1
sweaty player,0.789,0.429,team_chat,1
i'll help you,0.002,0.172,pvp_combat,0
good game everyone,0.185,0.47,casual,0
nice shot!,0.105,0.527,all_chat,0
you're dead,0.799,0.555,post_game,1
you're trash,0.799,0.475,casual,1
you're useless,0.758,0.2,casual,1
get rekt,0.694,0.757,competitive,1
brain dead player,0.741,0.719,post_game,1
thanks for the game,0.028,0.867,all_chat,0
uninstall you monkey,0.783,0.384,casual,1
that was close,0.008,0.776,all_chat,0
lets push together,0.058,0.725,post_game,0
good luck have fun,0.158,0.232,pvp_combat,0
you're a waste of space,0.985,0.074,pvp_combat,1
gg well played team!,0.043,0.053,pvp_combat,0
worst player ever,0.927,0.045,pvp_combat,1
neck yourself,0.934,0.546,team_chat,1
great teamwork guys,0.115,0.752,competitive,0
thanks for heal,0.198,0.37,team_chat,0
almost had it,0.194,0.503,team_chat,0
how are you still alive,0.955,0.814,competitive,1
too easy,0.723,0.64,all_chat,1
how are you still alive,0.95,0.72,post_game,1
rematch?,0.174,0.207,pvp_combat,0
get cancer,0.91,0.305,casual,1
smashed you,0.75,0.882,all_chat,1
worst player ever,0.845,0.445,post_game,1
watch out behind you,0.133,0.84,all_chat,0
nice shot!,0.068,0.982,competitive,0
rematch?,0.037,0.678,all_chat,0
let's regroup,0.033,0.768,post_game,0
wait for team,0.139,0.034,pvp_combat,0
neck yourself,0.886,0.687,post_game,1
stupid noob,0.878,0.857,competitive,1
you're trash,0.929,0.983,competitive,1
nice kill,0.161,0.109,casual,0
tryhard,0.595,0.478,post_game,1
stop camping,0.62,0.773,all_chat,1
you got lucky,0.728,0.849,competitive,1
stop camping,0.746,0.686,post_game,1
i'll kill you,0.593,0.619,team_chat,1
let's try again,0.006,0.742,post_game,0
that was close,0.029,0.872,competitive,0
brain dead player,0.918,0.384,team_chat,1
almost had it,0.166,0.866,all_chat,0
worst player ever,0.872,0.354,team_chat,1
get cancer,0.78,0.294,pvp_combat,1
get cancer,0.88,0.653,team_chat,1
gg well played team!,0.186,0.871,competitive,0
nice kill,0.129,0.526,post_game,0
reported,0.552,0.496,post_game,1
nice hacks,0.242,0.459,casual,0
thanks for heal,0.098,0.144,pvp_combat,0
how are you this bad,0.771,0.71,competitive,1
watch out behind you,0.081,0.92,competitive,0
you don't deserve to play,0.703,0.472,casual,1
ez noob,0.755,0.668,team_chat,1
need backup,0.118,0.445,post_game,0
i'll help you,0.188,0.135,pvp_combat,0
enemy spotted,0.098,0.54,post_game,0
stop camping,0.517,0.665,all_chat,1
good call,0.108,0.476,casual,0
sweaty player,0.291,0.444,casual,0
good luck have fun,0.133,0.396,casual,0
that was close,0.106,0.491,casual,0
destroyed you,0.587,0.704,post_game,1
enemy spotted,0.089,0.324,pvp_combat,0
stop feeding moron,0.845,0.813,competitive,1
you're a waste of space,0.922,0.61,team_chat,1
cover me please,0.064,0.379,casual,0
thanks for the game,0.058,0.246,pvp_combat,0
that was close,0.056,0.434,casual,0
that was fun,0.057,0.543,team_chat,0
you don't deserve to play,0.841,0.357,team_chat,1
how are you still alive,0.914,0.653,team_chat,1
your family must be ashamed,0.966,0.766,post_game,1
your family must be ashamed,0.988,0.563,all_chat,1
thanks for heal,0.028,0.066,pvp_combat,0
go back to tutorial,0.882,0.508,post_game,1
you don't deserve to play,0.901,0.56,all_chat,1
how are you still alive,0.743,0.281,casual,1
you're a waste of space,0.812,0.753,post_game,1
nice play,0.083,0.507,team_chat,0
good luck have fun,0.156,0.811,competitive,0
reported for being bad,0.888,0.253,casual,1
your family must be ashamed,0.804,0.662,team_chat,1
absolute garbage player,0.887,0.702,competitive,1
kill yourself,0.865,0.432,casual,1
stop camping,0.65,0.564,all_chat,1
let's try again,0.154,0.473,team_chat,0
how are you this bad,0.797,0.728,post_game,1
need backup,0.032,0.867,all_chat,0
i'll help you,0.068,0.77,all_chat,0
rematch?,0.184,0.267,casual,0
you're retarded,0.906,0.639,post_game,1
destroyed you,0.615,0.69,competitive,1
stop feeding moron,0.863,0.369,team_chat,1
neck yourself,0.998,0.495,post_game,1
reported,0.54,0.522,post_game,1
you suck so bad,0.706,0.255,casual,1
i hope you lose every game,0.854,0.104,casual,1
you suck so bad,0.762,0.72,all_chat,1
thanks for the game,0.142,0.018,pvp_combat,0
your family must be ashamed,0.723,0.33,casual,1
lets push together,0.044,0.594,post_game,0
great teamwork guys,0.101,0.428,casual,0
nice hacks,0.612,0.522,all_chat,1
camper noob,0.74,0.527,all_chat,1
delete this game idiot,0.766,0.578,all_chat,1
you're dead,0.263,0.246,casual,0
end your life,0.885,0.665,post_game,1
absolute garbage player,0.747,0.828,all_chat,1
you're throwing the game,0.901,0.634,post_game,1
nice play,0.015,0.161,pvp_combat,0
it's just a game,0.505,0.711,post_game,1
good game everyone,0.08,0.516,team_chat,0
great teamwork guys,0.157,0.952,competitive,0
that was close,0.067,0.419,casual,0
die in a fire,0.859,0.193,pvp_combat,1
stop feeding moron,0.907,0.27,pvp_combat,1
too easy,0.524,0.352,team_chat,1
let's regroup,0.031,0.646,team_chat,0
pathetic loser,0.734,0.785,competitive,1
let's regroup,0.185,0.721,post_game,0
get rekt,0.576,0.676,all_chat,1
thanks for the game,0.03,0.833,competitive,0
worst player ever,0.784,0.136,pvp_combat,1
uninstall the game noob,0.888,0.756,post_game,1
kill yourself,0.785,0.763,competitive,1
you're trash,0.704,0.363,pvp_combat,1
let's regroup,0.134,0.673,all_chat,0
lets push together,0.09,0.636,team_chat,0
get cancer,0.833,0.861,all_chat,1
die in a fire,0.741,0.551,team_chat,1
neck yourself,0.717,0.639,all_chat,1
lets push together,0.02,0.379,casual,0
lets push together,0.119,0.483,team_chat,0
stop feeding moron,0.803,0.11,casual,1
glhf everyone,0.052,0.03,pvp_combat,0
uninstall you monkey,0.905,0.489,casual,1
get cancer,0.998,0.143,casual,1
why so serious,0.23,0.323,pvp_combat,0
nice hacks,0.766,0.769,all_chat,1
you're retarded,0.711,0.498,casual,1
we can do this,0.126,0.668,team_chat,0
wait for team,0.169,0.596,post_game,0
reported for being bad,0.745,0.957,competitive,1
you're dead,0.235,0.131,pvp_combat,0
let's regroup,0.178,0.732,post_game,0
ez noob,0.345,0.008,pvp_combat,0
nice try!,0.114,0.642,team_chat,0
good call,0.188,0.343,team_chat,0
good defense,0.066,0.44,post_game,0
rematch?,0.089,0.996,competitive,0
nice play,0.025,0.222,casual,0
i'll kill you,0.507,0.576,all_chat,1
why so serious,0.709,0.658,team_chat,1
owned,0.584,0.69,post_game,1
camper noob,0.655,0.63,post_game,1
brain dead player,0.941,0.523,post_game,1
lets push together,0.082,0.566,post_game,0
almost had it,0.042,0.127,casual,0
you're throwing the game,0.747,0.048,pvp_combat,1
reported,0.762,0.709,post_game,1
end your life,0.941,0.68,all_chat,1
good call,0.18,0.352,casual,0
that was close,0.063,0.6,all_chat,0
pathetic loser,0.755,0.712,competitive,1
nice save,0.178,0.615,post_game,0
enemy spotted,0.034,0.738,post_game,0
smashed you,0.64,0.344,team_chat,1
lets push together,0.031,0.587,all_chat,0
reported for being bad,0.859,0.422,post_game,1
wp wp,0.115,0.218,casual,0
absolute garbage player,0.757,0.102,casual,1
end your life,0.847,0.675,competitive,1
you're dead,0.206,0.294,casual,0
cover me please,0.199,0.215,pvp_combat,0
you're throwing the game,0.915,0.039,pvp_combat,1
nice save,0.144,0.495,casual,0
uninstall you monkey,0.709,0.681,post_game,1
worst player ever,0.754,0.121,casual,1
you're dead,0.677,0.505,post_game,1
pathetic loser,0.742,0.397,casual,1
trash team,0.897,0.672,competitive,1
uninstall the game noob,0.867,0.33,pvp_combat,1
great teamwork guys,0.154,0.366,casual,0
cover me please,0.06,0.147,pvp_combat,0
good defense,0.069,0.675,all_chat,0
you're dead,0.694,0.647,all_chat,1
watch out behind you,0.034,0.198,casual,0
lets push together,0.142,0.429,post_game,0
why so serious,0.468,0.297,pvp_combat,0
absolute garbage player,0.712,0.826,competitive,1
good defense,0.105,0.125,casual,0
follow me,0.177,0.439,post_game,0
rematch?,0.187,0.209,casual,0
good call,0.093,0.995,competitive,0
good defense,0.09,0.805,competitive,0
camper noob,0.598,0.308,team_chat,1
you're trash,0.899,0.874,competitive,1
delete this game idiot,0.919,0.341,team_chat,1
reported,0.444,0.227,casual,0
enemy spotted,0.06,0.018,pvp_combat,0
that was close,0.183,0.105,pvp_combat,0
stupid noob,0.702,0.762,competitive,1
we can do this,0.168,0.661,competitive,0
add me as friend,0.044,0.542,post_game,0
smashed you,0.649,0.408,post_game,1
delete this game idiot,0.873,0.496,team_chat,1
need backup,0.096,0.614,post_game,0
you're dead,0.65,0.672,competitive,1
good luck have fun,0.17,0.384,casual,0
add me as friend,0.169,0.767,all_chat,0
owned,0.357,0.165,pvp_combat,0
nice shot!,0.069,0.363,casual,0
we can do this,0.163,0.802,competitive,0
you're a waste of space,0.851,0.037,pvp_combat,1
i'll help you,0.055,0.221,casual,0
pathetic loser,0.914,0.574,all_chat,1
reported,0.507,0.899,competitive,1
uninstall you monkey,0.995,0.686,all_chat,1
watch out behind you,0.012,0.261,pvp_combat,0
pathetic loser,0.719,0.756,all_chat,1
stop camping,0.305,0.214,pvp_combat,0
let's try again,0.11,0.724,all_chat,0
nice try!,0.176,0.034,pvp_combat,0
cheater,0.331,0.142,casual,0
thanks for heal,0.038,0.651,all_chat,0
follow me,0.112,0.597,all_chat,0
thanks for the game,0.009,0.735,competitive,0
gg well played team!,0.053,0.182,pvp_combat,0
worst player ever,0.991,0.316,casual,1
you're useless,0.78,0.693,team_chat,1
nice hacks,0.749,0.527,post_game,1
nice try!,0.104,0.404,post_game,0
nice kill,0.141,0.098,pvp_combat,0
that was close,0.054,0.128,pvp_combat,0
watch out behind you,0.14,0.452,post_game,0
nice save,0.197,0.516,team_chat,0
end your life,0.706,0.669,team_chat,1
nice shot!,0.072,0.588,team_chat,0
glhf everyone,0.076,0.812,competitive,0
let's regroup,0.109,0.959,competitive,0
i hope you get banned,0.808,0.462,post_game,1
you suck so bad,0.786,0.36,pvp_combat,1
how are you this bad,0.739,0.601,post_game,1
reported for being bad,0.821,0.332,team_chat,1
uninstall the game noob,0.746,0.739,all_chat,1
good defense,0.164,0.598,post_game,0
owned,0.545,0.495,post_game,1
i hope you lose every game,0.949,0.205,pvp_combat,1
follow me,0.178,0.395,pvp_combat,0
great teamwork guys,0.144,0.548,all_chat,0
thanks for the game,0.131,0.357,pvp_combat,0
glhf everyone,0.109,0.425,post_game,0
nice kill,0.188,0.399,casual,0
you're throwing the game,0.917,0.859,all_chat,1
gg well played team!,0.126,0.697,competitive,0
stop camping,0.514,0.808,all_chat,1
how are you still alive,0.96,0.685,all_chat,1
cover me please,0.08,0.158,pvp_combat,0
get cancer,0.747,0.473,casual,1
you're retarded,0.713,0.808,competitive,1
you don't deserve to play,0.834,0.4,post_game,1
good game everyone,0.043,0.559,all_chat,0
you're useless,0.959,0.734,post_game,1
nice shot!,0.079,0.114,casual,0
watch out behind you,0.063,0.427,post_game,0
hacker,0.681,0.69,all_chat,1
you got lucky,0.568,0.616,team_chat,1
thanks for heal,0.049,0.862,competitive,0
let's try again,0.011,0.582,all_chat,0
nice play,0.087,0.337,casual,0
we can do this,0.183,0.951,competitive,0
good call,0.082,0.397,pvp_combat,0
end your life,0.735,0.725,all_chat,1
you got lucky,0.781,0.712,all_chat,1
thanks for the game,0.039,0.452,team_chat,0
let's regroup,0.145,0.155,casual,0
die in a fire,0.817,0.488,post_game,1
you suck so bad,0.73,0.513,team_chat,1
good defense,0.035,0.986,competitive,0
cheater,0.777,0.364,team_chat,1
gg well played team!,0.115,0.591,post_game,0
why so serious,0.703,0.584,post_game,1
good luck have fun,0.191,0.139,pvp_combat,0
add me as friend,0.092,0.652,post_game,0
trash team,0.706,0.146,casual,1
how are you this bad,0.833,0.473,casual,1
wp wp,0.051,0.143,pvp_combat,0
die in a fire,0.933,0.422,post_game,1
kill yourself,0.827,0.507,team_chat,1
kys noob,0.988,0.489,team_chat,1
that was close,0.076,0.612,post_game,0
how are you still alive,0.853,0.562,team_chat,1
worst player ever,0.921,0.776,post_game,1
thanks for the game,0.102,0.639,post_game,0
how are you still alive,0.797,0.412,post_game,1
destroyed you,0.228,0.438,casual,0
i hope you get banned,0.83,0.896,all_chat,1
stop feeding moron,0.977,0.45,casual,1
why so serious,0.765,0.701,competitive,1
stop camping,0.756,0.459,post_game,1
tryhard,0.589,0.759,all_chat,1
good luck have fun,0.075,0.789,competitive,0
cover me please,0.022,0.066,pvp_combat,0
i'll help you,0.045,0.663,team_chat,0
you suck so bad,0.947,0.871,competitive,1
thanks for heal,0.198,0.448,casual,0
watch out behind you,0.088,0.573,all_chat,0
gg well played team!,0.019,0.502,team_chat,0
let's regroup,0.064,0.51,all_chat,0
good defense,0.078,0.186,casual,0
thanks for the game,0.132,0.666,competitive,0
follow me,0.053,0.291,pvp_combat,0
nice kill,0.039,0.611,all_chat,0
you're throwing the game,0.734,0.785,post_game,1
trash team,0.767,0.533,post_game,1
reported for being bad,0.716,0.557,post_game,1
add me as friend,0.007,0.446,post_game,0
nice shot!,0.019,0.298,pvp_combat,0
how are you this bad,0.753,0.814,all_chat,1
almost had it,0.157,0.596,post_game,0
trash team,0.872,0.46,post_game,1
stop feeding moron,0.725,0.898,competitive,1
nice shot!,0.118,0.174,pvp_combat,0
kill yourself,0.775,0.359,casual,1
you're trash,0.761,0.874,competitive,1
glhf everyone,0.011,0.791,competitive,0
uninstall you monkey,0.83,0.871,all_chat,1
owned,0.532,0.487,post_game,1
you're trash,0.841,0.962,competitive,1
nice save,0.112,0.845,competitive,0
you're dead,0.529,0.828,all_chat,1
you're useless,0.937,0.709,competitive,1
nice try!,0.198,0.42,team_chat,0
nice hacks,0.768,0.643,team_chat,1
neck yourself,0.774,0.785,post_game,1
you got lucky,0.74,0.867,competitive,1
thanks for heal,0.084,0.978,competitive,0
how are you this bad,0.883,0.38,casual,1
ez noob,0.566,0.362,team_chat,1
hacker,0.671,0.706,post_game,1
nice shot!,0.087,0.097,pvp_combat,0
sit down,0.776,0.721,competitive,1
delete this game idiot,0.76,0.624,post_game,1
thanks for heal,0.091,0.185,casual,0
you're retarded,0.794,0.976,competitive,1
gg well played team!,0.189,0.801,all_chat,0
owned,0.58,0.641,all_chat,1
that was close,0.063,0.484,team_chat,0
nice play,0.15,0.749,competitive,0
thanks for heal,0.08,0.352,casual,0
nice kill,0.175,0.507,team_chat,0
wp wp,0.01,0.698,all_chat,0
nice try!,0.114,0.566,team_chat,0
go back to tutorial,0.72,0.415,casual,1
we can do this,0.014,0.683,competitive,0
get cancer,0.716,0.474,casual,1
stop camping,0.55,0.682,all_chat,1
rematch?,0.108,0.376,casual,0
i'll help you,0.089,0.597,team_chat,0
almost had it,0.155,0.536,post_game,0
trash team,0.875,0.708,post_game,1
get rekt,0.734,0.811,competitive,1
watch out behind you,0.148,0.467,post_game,0
nice play,0.161,0.652,competitive,0
good defense,0.018,0.627,team_chat,0
good defense,0.097,0.566,post_game,0
good call,0.194,0.749,all_chat,0
how are you this bad,0.932,0.685,all_chat,1
nice try!,0.161,0.31,team_chat,0
wait for team,0.039,0.942,competitive,0
good call,0.107,0.687,team_chat,0
good defense,0.091,0.224,pvp_combat,0
good game everyone,0.116,0.624,competitive,0
neck yourself,0.843,0.938,competitive,1
need backup,0.177,0.731,all_chat,0
nice save,0.094,0.627,team_chat,0
i hope you get banned,0.879,0.791,all_chat,1
how are you this bad,0.793,0.516,post_game,1
follow me,0.141,0.367,pvp_combat,0
i hope you get banned,0.976,0.297,casual,1
let's try again,0.128,0.558,post_game,0
reported,0.501,0.311,team_chat,1
cover me please,0.086,0.76,competitive,0
reported,0.541,0.455,team_chat,1
thanks for heal,0.125,0.703,competitive,0
watch out behind you,0.031,0.527,post_game,0
delete this game idiot,0.883,0.745,all_chat,1
lets push together,0.09,0.362,pvp_combat,0
that was close,0.02,0.715,post_game,0
uninstall the game noob,0.773,0.971,competitive,1
i hope you lose every game,0.732,0.678,competitive,1
trash team,0.898,0.463,post_game,1
nice save,0.045,0.158,casual,0
go back to tutorial,0.734,0.824,competitive,1
worst player ever,0.998,0.503,all_chat,1
neck yourself,0.898,0.509,all_chat,1
your family must be ashamed,0.843,0.577,post_game,1
we can do this,0.136,0.141,casual,0
nice shot!,0.129,0.603,post_game,0
kys noob,0.845,0.73,post_game,1
thanks for heal,0.128,0.543,all_chat,0
stop feeding moron,0.883,0.818,competitive,1
reported for being bad,0.793,0.595,team_chat,1
your family must be ashamed,0.767,0.642,all_chat,1
trash team,0.791,0.684,team_chat,1
gg well played team!,0.068,0.624,all_chat,0
trash team,0.768,0.663,all_chat,1
go back to tutorial,0.715,0.52,team_chat,1
